ID,latitude,longitude,location
96,45.4675012,9.1771506,93036
97,45.59813498,9.01149895,93036
98,45.6052198,9.056294266,93036
99,-23.5378321,-46.7189614,209
100,42.06823691,12.58501342,2226
101,40.81112765,-73.64145852,11543
102,40.730209,-73.926774,11543
103,40.72781164,-73.9293623,861
104,41.97727092,-87.90440083,2501
105,-23.47162038,-46.66165085,209
106,41.97863479,-87.91070938,2501
107,40.70536767,-73.99605274,46
108,33.49304618,-112.0805142,843
109,40.90101122,-73.83426795,46
110,33.64134858,-112.1381109,843
111,41.8993104,12.5161145,2226
112,40.872317,-73.855677,861
113,41.77716563,12.34528751,2226
114,40.650182,-73.97523,861
115,40.08113152,-75.01130647,13556
116,48.848201,2.39316,74683
117,41.78210384,-87.74114803,2501
118,33.60129194,-112.2435766,843
119,40.88069452,-74.11173345,46
120,40.85539338,-74.07781868,861
121,41.9777734,-87.90611744,2501
122,40.88979309,-73.86303123,46
123,41.75184403,-87.52561354,2501
124,-23.5496903,-46.6399699,209
125,40.63825423,-73.72977915,11543
126,40.76354373,-73.98240566,46
127,33.454303,-112.041454,843
128,48.8707448,2.337723,74683
129,48.827159,2.3225074,74683
130,40.7137136,-73.9726387,46
131,40.09800785,-75.28995057,13556
132,40.85442328,-73.85926367,46
133,41.7826023,-87.52389313,2501
134,40.20087244,-75.20393678,13556
135,40.91266285,-73.79640233,46
136,41.74821204,-87.76196868,2501
137,40.64512192,-73.78349304,11543
138,41.8953817,-87.6241604,2501
139,40.62825698,-73.87947752,46
140,41.8098071,12.57822851,2226
141,40.61625925,-73.73165387,11543
142,45.59916616,9.04396241,93036
143,40.90066313,-73.82671812,46
144,41.8775944,12.4763318,2226
145,40.86307322,-74.02372701,11543
146,33.39587,-112.025664,843
147,33.512549,-112.084658,843
148,40.8547524,-73.86427173,46
149,40.85121557,-73.95206451,46
150,48.84283065,2.33530283,74683
151,-23.5532857,-46.658295,209
152,40.746519,-73.992983,46
153,34.13269896,-118.2837975,2333
154,40.73,-73.9566,861
155,41.908696,12.4680537,2226
156,40.49763693,-73.92484789,11543
157,41.939419,12.4692047,2226
158,40.627789,-73.9561949,861
159,33.53970524,-112.0892915,843
160,33.95401855,-118.2030111,2333
161,41.8877,-87.6218,2501
162,-23.6242234,-46.6947289,209
163,39.949472,-75.152122,13556
164,41.76240127,-87.78216163,2501
165,39.967216,-75.143679,13556
166,33.97525031,-118.4843243,2333
167,45.55598586,9.339831098,93036
168,41.9088922,12.4886946,2226
169,39.92786,-75.16559,13556
170,45.4339491,9.1987274,93036
171,40.04660675,-75.0972041,13556
172,39.949472,-75.152122,13556
173,41.79098161,12.62727722,2226
174,40.62257379,-74.07316182,861
175,45.4339491,9.1987274,93036
176,45.45022652,9.15822029,93036
177,39.98224,-75.12688,13556
178,33.34436321,-112.1925,843
179,34.14774329,-118.5476045,2333
180,40.09925685,-75.23055729,13556
181,40.87156328,-73.87673542,46
182,41.9731177,-87.54519846,2501
183,39.95314195,-75.15961647,13556
184,48.873111,2.29568,74683
185,41.9777734,-87.90611744,2501
186,40.744867,-73.902689,11543
187,40.676001,-73.98014,861
188,33.454074,-111.984446,843
189,34.31119358,-118.2417553,2333
190,41.75985915,12.39601197,2226
191,33.6247596,-111.9329381,843
192,-23.54868422,-46.63880825,209
193,34.1051792,-118.2916246,2333
194,40.06835232,-75.0240187,13556
195,48.9625767,2.503965818,74683
196,33.66629879,-112.2125735,843
197,45.59146171,9.053785946,93036
198,33.659855,-112.152453,843
199,41.7438638,12.2865074,2226
200,45.4785404,9.2027356,93036
201,45.35079698,9.060079549,93036
202,41.8688684,-87.6204727,2501
203,45.57965522,9.02638553,93036
204,40.52433345,-73.6337671,11543
205,45.37991146,9.096304665,93036
206,45.5049266,9.2224386,93036
207,49.00130013,2.183701667,74683
208,45.5000814,9.2207078,93036
209,34.101873,-118.305234,2333
210,41.82943084,-87.51431869,2501
211,48.85542577,2.36094475,74683
212,39.9781126,-75.130925,13556
213,33.41133454,-112.1416688,843
214,34.01730903,-118.4053016,2333
215,48.874252,2.321311,74683
216,40.762713,-73.916257,11543
217,41.83187869,-87.58680571,2501
218,41.8692459,12.5172037,2226
219,33.89122718,-118.3137003,2333
220,40.91391964,-73.74660906,11543
221,49.01409171,2.173174908,74683
222,41.8525252,-87.6124263,2501
223,45.4724645,9.1875021,93036
224,45.4551474,9.1667208,93036
225,41.8211428,-87.77103937,2501
226,45.4539436,9.1589241,93036
227,42.11104021,-88.02009855,2501
228,40.52828714,-73.82020449,861
229,41.9001502,12.477825,2226
230,33.30918258,-111.9782844,843
231,40.7168275,-73.962137,861
232,48.857421,2.372624,74683
233,45.47327,9.17193,93036
234,40.7425407,-73.9311648,11543
235,48.73879941,2.482975844,74683
236,33.92683038,-118.5245737,2333
237,42.03795074,-87.55573461,2501
238,41.894129,12.484206,2226
239,48.830276,2.3198632,74683
240,48.874924,2.297663,74683
241,45.471588,9.181954,93036
242,41.8626941,12.5516733,2226
